YearsCode,RemoteWork, ConvertedCompYearly 
,In-person Average," $25,148 "
1,Remote, $20 
1,Remote, $44 
1,Remote, $65 
1,Remote, $120 
1,Remote, $174 
1,Remote, $273 
1,Remote, $306 
1,Remote, $318 
1,Remote, $646 
1,Remote, $700 
1,Remote, $818 
1,Remote," $1,392 "
1,Remote," $2,182 "
1,Remote," $2,557 "
1,Remote," $3,099 "
1,Remote," $4,068 "
1,Remote," $5,231 "
1,Remote," $5,231 "
1,Remote," $5,872 "
1,Remote," $7,200 "
1,Remote," $10,922 "
1,Remote," $11,983 "
1,Remote," $13,929 "
1,Remote," $40,000 "
1,Remote," $47,932 "
1,Remote," $54,457 "
1,Remote," $63,932 "
1,Remote," $68,071 "
1,Remote," $75,000 "
1,Remote," $75,000 "
1,Remote," $100,000 "
1,Remote," $175,000 "
1,Remote," $220,000 "
,Remote Average," $30,198 "
1 Average,," $27,623 "
2,Hybrid, $1 
2,Hybrid, $15 
2,Hybrid, $187 
2,Hybrid, $351 
2,Hybrid, $728 
2,Hybrid, $775 
2,Hybrid," $1,158 "
2,Hybrid," $1,395 "
2,Hybrid," $2,712 "
2,Hybrid," $2,876 "
2,Hybrid," $2,906 "
2,Hybrid," $3,731 "
2,Hybrid," $3,739 "
2,Hybrid," $4,912 "
2,Hybrid," $5,000 "
2,Hybrid," $5,231 "
2,Hybrid," $5,628 "
2,Hybrid," $6,974 "
2,Hybrid," $8,137 "
2,Hybrid," $10,922 "
2,Hybrid," $11,601 "
2,Hybrid," $11,610 "
2,Hybrid," $11,624 "
2,Hybrid," $11,624 "
2,Hybrid," $12,743 "
2,Hybrid," $13,949 "
2,Hybrid," $17,605 "
2,Hybrid," $17,621 "
2,Hybrid," $23,203 "
2,Hybrid," $27,844 "
2,Hybrid," $30,164 "
2,Hybrid," $34,544 "
2,Hybrid," $34,804 "
2,Hybrid," $37,197 "
2,Hybrid," $38,000 "
2,Hybrid," $41,527 "
2,Hybrid," $41,765 "
2,Hybrid," $47,566 "
2,Hybrid," $55,000 "
2,Hybrid," $57,000 "
2,Hybrid," $58,070 "
2,Hybrid," $67,289 "
2,Hybrid," $71,899 "
2,Hybrid," $72,958 "
2,Hybrid," $80,000 "
2,Hybrid," $80,000 "
2,Hybrid," $94,955 "
2,Hybrid," $116,015 "
2,Hybrid," $130,000 "
2,Hybrid," $234,034 "
,Hybrid Average," $32,992 "
2,In-person, $116 
2,In-person, $279 
2,In-person, $282 
2,In-person, $466 
2,In-person, $500 
2,In-person, $581 
2,In-person, $697 
2,In-person, $719 
2,In-person, $775 
2,In-person, $904 
2,In-person, $982 
2,In-person," $1,130 "
2,In-person," $1,450 "
2,In-person," $1,599 "
2,In-person," $2,106 "
2,In-person," $2,107 "
2,In-person," $2,790 "
2,In-person," $3,441 "
2,In-person," $3,495 "
2,In-person," $3,512 "
2,In-person," $3,628 "
2,In-person," $3,766 "
2,In-person," $4,000 "
2,In-person," $4,179 "
2,In-person," $4,185 "
2,In-person," $4,378 "
2,In-person," $4,650 "
2,In-person," $4,650 "
2,In-person," $4,877 "
2,In-person," $4,909 "
2,In-person," $5,231 "
2,In-person," $5,461 "
2,In-person," $5,580 "
2,In-person," $5,812 "
2,In-person," $6,496 "
2,In-person," $6,961 "
2,In-person," $7,300 "
2,In-person," $7,349 "
2,In-person," $7,541 "
2,In-person," $7,574 "
2,In-person," $7,642 "
2,In-person," $7,834 "
2,In-person," $8,628 "
2,In-person," $8,774 "
2,In-person," $9,415 "
2,In-person," $9,745 "
2,In-person," $12,000 "
2,In-person," $12,536 "
2,In-person," $13,949 "
2,In-person," $19,139 "
2,In-person," $20,000 "
2,In-person," $23,203 "
2,In-person," $24,363 "
2,In-person," $24,363 "
2,In-person," $24,376 "
2,In-person," $30,000 "
2,In-person," $40,000 "
2,In-person," $45,283 "
2,In-person," $65,000 "
2,In-person," $75,000 "
2,In-person," $77,760 "
2,In-person," $79,655 "
2,In-person," $80,000 "
2,In-person," $85,000 "
2,In-person," $88,000 "
2,In-person," $120,000 "
2,In-person," $125,000 "
,In-person Average," $19,002 "
2,Remote, $7 
2,Remote, $32 
2,Remote, $211 
2,Remote, $291 
2,Remote, $327 
2,Remote, $555 
2,Remote, $697 
2,Remote, $935 
2,Remote," $1,000 "
2,Remote," $1,000 "
2,Remote," $1,500 "
2,Remote," $2,000 "
2,Remote," $2,092 "
2,Remote," $2,094 "
2,Remote," $2,157 "
2,Remote," $2,790 "
2,Remote," $3,383 "
2,Remote," $3,487 "
2,Remote," $3,554 "
2,Remote," $3,900 "
2,Remote," $4,061 "
2,Remote," $4,650 "
2,Remote," $4,793 "
2,Remote," $5,000 "
2,Remote," $5,268 "
2,Remote," $5,752 "
2,Remote," $5,812 "
2,Remote," $8,628 "
2,Remote," $8,738 "
2,Remote," $10,000 "
2,Remote," $11,791 "
2,Remote," $17,792 "
2,Remote," $25,535 "
2,Remote," $26,600 "
2,Remote," $27,268 "
2,Remote," $28,927 "
2,Remote," $30,643 "
2,Remote," $37,999 "
2,Remote," $60,328 "
2,Remote," $60,584 "
2,Remote," $70,440 "
2,Remote," $74,000 "
2,Remote," $74,000 "
2,Remote," $85,000 "
2,Remote," $100,000 "
2,Remote," $180,000 "
2,Remote," $240,000 "
,Remote Average," $26,503 "
2 Average,," $25,417 "
3,Hybrid, $5 
3,Hybrid, $37 
3,Hybrid, $263 
3,Hybrid, $509 
3,Hybrid," $1,150 "
3,Hybrid," $1,522 "
3,Hybrid," $1,740 "
3,Hybrid," $2,604 "
3,Hybrid," $2,666 "
3,Hybrid," $3,570 "
3,Hybrid," $3,715 "
3,Hybrid," $4,185 "
3,Hybrid," $4,185 "
3,Hybrid," $4,650 "
3,Hybrid," $4,873 "
3,Hybrid," $5,231 "
3,Hybrid," $5,541 "
3,Hybrid," $5,638 "
3,Hybrid," $5,812 "
3,Hybrid," $5,992 "
3,Hybrid," $6,382 "
3,Hybrid," $6,974 "
3,Hybrid," $6,974 "
3,Hybrid," $6,974 "
3,Hybrid," $7,239 "
3,Hybrid," $7,281 "
3,Hybrid," $9,586 "
3,Hybrid," $10,462 "
3,Hybrid," $10,462 "
3,Hybrid," $10,692 "
3,Hybrid," $11,021 "
3,Hybrid," $11,456 "
3,Hybrid," $11,781 "
3,Hybrid," $12,079 "
3,Hybrid," $13,289 "
3,Hybrid," $15,715 "
3,Hybrid," $15,867 "
3,Hybrid," $15,899 "
3,Hybrid," $16,706 "
3,Hybrid," $16,850 "
3,Hybrid," $21,416 "
3,Hybrid," $21,947 "
3,Hybrid," $23,008 "
3,Hybrid," $23,203 "
3,Hybrid," $23,203 "
3,Hybrid," $23,563 "
3,Hybrid," $23,665 "
3,Hybrid," $23,966 "
3,Hybrid," $24,386 "
3,Hybrid," $25,523 "
3,Hybrid," $26,660 "
3,Hybrid," $27,844 "
3,Hybrid," $27,898 "
3,Hybrid," $28,424 "
3,Hybrid," $29,004 "
3,Hybrid," $30,000 "
3,Hybrid," $30,164 "
3,Hybrid," $31,446 "
3,Hybrid," $32,484 "
3,Hybrid," $32,547 "
3,Hybrid," $32,980 "
3,Hybrid," $34,804 "
3,Hybrid," $35,397 "
3,Hybrid," $36,479 "
3,Hybrid," $37,125 "
3,Hybrid," $37,125 "
3,Hybrid," $40,127 "
3,Hybrid," $42,962 "
3,Hybrid," $44,782 "
3,Hybrid," $44,927 "
3,Hybrid," $44,927 "
3,Hybrid," $46,406 "
3,Hybrid," $48,726 "
3,Hybrid," $48,726 "
3,Hybrid," $50,000 "
3,Hybrid," $54,432 "
3,Hybrid," $58,007 "
3,Hybrid," $58,115 "
3,Hybrid," $59,296 "
3,Hybrid," $62,648 "
3,Hybrid," $63,744 "
3,Hybrid," $63,808 "
3,Hybrid," $65,614 "
3,Hybrid," $68,924 "
3,Hybrid," $70,769 "
3,Hybrid," $71,000 "
3,Hybrid," $73,292 "
3,Hybrid," $80,000 "
3,Hybrid," $81,262 "
3,Hybrid," $85,851 "
3,Hybrid," $87,000 "
3,Hybrid," $87,011 "
3,Hybrid," $94,000 "
3,Hybrid," $95,000 "
3,Hybrid," $124,029 "
3,Hybrid," $150,000 "
3,Hybrid," $160,000 "
,Hybrid Average," $33,580 "
3,In-person, $23 
3,In-person, $76 
3,In-person, $105 
3,In-person, $110 
3,In-person, $271 
3,In-person, $325 
3,In-person, $348 
3,In-person, $367 
3,In-person, $429 
3,In-person, $512 
3,In-person, $550 
3,In-person, $637 
3,In-person, $656 
3,In-person, $735 
3,In-person, $800 
3,In-person," $1,160 "
3,In-person," $1,264 "
3,In-person," $1,386 "
3,In-person," $1,511 "
3,In-person," $1,638 "
3,In-person," $1,860 "
3,In-person," $2,790 "
3,In-person," $2,902 "
3,In-person," $2,906 "
3,In-person," $3,058 "
3,In-person," $3,487 "
3,In-person," $3,487 "
3,In-person," $3,487 "
3,In-person," $4,106 "
3,In-person," $4,240 "
3,In-person," $4,301 "
3,In-person," $4,525 "
3,In-person," $4,650 "
3,In-person," $4,882 "
3,In-person," $4,915 "
3,In-person," $5,461 "
3,In-person," $5,461 "
3,In-person," $5,561 "
3,In-person," $5,812 "
3,In-person," $5,812 "
3,In-person," $5,998 "
3,In-person," $6,277 "
3,In-person," $6,321 "
3,In-person," $6,974 "
3,In-person," $6,974 "
3,In-person," $6,974 "
3,In-person," $6,974 "
3,In-person," $6,974 "
3,In-person," $8,137 "
3,In-person," $8,137 "
3,In-person," $8,400 "
3,In-person," $9,192 "
3,In-person," $9,281 "
3,In-person," $9,299 "
3,In-person," $9,299 "
3,In-person," $9,586 "
3,In-person," $11,624 "
3,In-person," $11,624 "
3,In-person," $12,000 "
3,In-person," $12,178 "
3,In-person," $12,743 "
3,In-person," $13,289 "
3,In-person," $13,740 "
3,In-person," $14,530 "
3,In-person," $15,995 "
3,In-person," $16,242 "
3,In-person," $16,337 "
3,In-person," $17,402 "
3,In-person," $18,374 "
3,In-person," $18,380 "
3,In-person," $19,240 "
3,In-person," $20,000 "
3,In-person," $20,342 "
3,In-person," $21,783 "
3,In-person," $21,844 "
3,In-person," $23,203 "
3,In-person," $23,203 "
3,In-person," $23,203 "
3,In-person," $23,720 "
3,In-person," $25,523 "
3,In-person," $26,735 "
3,In-person," $27,161 "
3,In-person," $28,415 "
3,In-person," $29,847 "
3,In-person," $32,748 "
3,In-person," $34,122 "
3,In-person," $37,439 "
3,In-person," $39,298 "
3,In-person," $39,445 "
3,In-person," $39,445 "
3,In-person," $40,902 "
3,In-person," $41,069 "
3,In-person," $43,565 "
3,In-person," $45,268 "
3,In-person," $47,423 "
3,In-person," $49,886 "
3,In-person," $50,000 "
3,In-person," $53,470 "
3,In-person," $60,000 "
3,In-person," $60,005 "
3,In-person," $62,678 "
3,In-person," $68,071 "
3,In-person," $70,000 "
3,In-person," $70,000 "
3,In-person," $70,064 "
3,In-person," $85,000 "
3,In-person," $85,000 "
3,In-person," $86,750 "
3,In-person," $90,491 "
3,In-person," $101,911 "
3,In-person," $110,000 "
3,In-person," $110,000 "
3,In-person," $120,000 "
,In-person Average," $23,045 "
3,Remote, $6 
3,Remote, $10 
3,Remote, $17 
3,Remote, $17 
3,Remote, $30 
3,Remote, $91 
3,Remote, $173 
3,Remote, $180 
3,Remote, $237 
3,Remote, $300 
3,Remote, $349 
3,Remote, $407 
3,Remote, $719 
3,Remote, $843 
3,Remote, $959 
3,Remote," $1,000 "
3,Remote," $1,162 "
3,Remote," $1,162 "
3,Remote," $1,198 "
3,Remote," $1,500 "
3,Remote," $1,550 "
3,Remote," $1,580 "
3,Remote," $1,745 "
3,Remote," $2,033 "
3,Remote," $2,397 "
3,Remote," $2,950 "
3,Remote," $3,487 "
3,Remote," $3,487 "
3,Remote," $3,600 "
3,Remote," $3,777 "
3,Remote," $3,997 "
3,Remote," $4,882 "
3,Remote," $4,912 "
3,Remote," $5,022 "
3,Remote," $5,392 "
3,Remote," $5,461 "
3,Remote," $5,812 "
3,Remote," $6,456 "
3,Remote," $8,283 "
3,Remote," $8,428 "
3,Remote," $8,463 "
3,Remote," $9,275 "
3,Remote," $10,229 "
3,Remote," $10,462 "
3,Remote," $11,624 "
3,Remote," $11,624 "
3,Remote," $11,624 "
3,Remote," $14,042 "
3,Remote," $14,400 "
3,Remote," $17,030 "
3,Remote," $20,000 "
3,Remote," $20,296 "
3,Remote," $20,342 "
3,Remote," $21,000 "
3,Remote," $23,870 "
3,Remote," $24,000 "
3,Remote," $25,519 "
3,Remote," $27,773 "
3,Remote," $27,844 "
3,Remote," $29,000 "
3,Remote," $31,324 "
3,Remote," $34,224 "
3,Remote," $34,872 "
3,Remote," $35,000 "
3,Remote," $36,000 "
3,Remote," $38,739 "
3,Remote," $40,842 "
3,Remote," $43,622 "
3,Remote," $45,246 "
3,Remote," $48,000 "
3,Remote," $50,000 "
3,Remote," $50,000 "
3,Remote," $58,007 "
3,Remote," $63,808 "
3,Remote," $64,968 "
3,Remote," $65,663 "
3,Remote," $66,128 "
3,Remote," $72,155 "
3,Remote," $75,000 "
3,Remote," $87,550 "
3,Remote," $90,000 "
3,Remote," $105,790 "
3,Remote," $108,160 "
3,Remote," $110,000 "
3,Remote," $150,000 "
,Remote Average," $24,225 "
3 Average,," $26,849 "
4,Hybrid, $3 
4,Hybrid, $6 
4,Hybrid, $12 
4,Hybrid, $20 
4,Hybrid, $98 
4,Hybrid, $464 
4,Hybrid, $929 
4,Hybrid, $999 
4,Hybrid," $1,000 "
4,Hybrid," $1,637 "
4,Hybrid," $1,740 "
4,Hybrid," $1,964 "
4,Hybrid," $2,000 "
4,Hybrid," $2,397 "
4,Hybrid," $2,552 "
4,Hybrid," $2,808 "
4,Hybrid," $3,002 "
4,Hybrid," $3,487 "
4,Hybrid," $3,595 "
4,Hybrid," $3,676 "
4,Hybrid," $4,363 "
4,Hybrid," $4,650 "
4,Hybrid," $4,745 "
4,Hybrid," $4,796 "
4,Hybrid," $5,231 "
4,Hybrid," $5,812 "
4,Hybrid," $6,044 "
4,Hybrid," $6,149 "
4,Hybrid," $6,393 "
4,Hybrid," $6,742 "
4,Hybrid," $6,961 "
4,Hybrid," $6,974 "
4,Hybrid," $7,137 "
4,Hybrid," $7,556 "
4,Hybrid," $8,137 "
4,Hybrid," $8,137 "
4,Hybrid," $8,353 "
4,Hybrid," $8,369 "
4,Hybrid," $8,428 "
4,Hybrid," $8,881 "
4,Hybrid," $9,102 "
4,Hybrid," $10,462 "
4,Hybrid," $10,713 "
4,Hybrid," $10,883 "
4,Hybrid," $11,624 "
4,Hybrid," $11,624 "
4,Hybrid," $11,950 "
4,Hybrid," $12,762 "
4,Hybrid," $13,000 "
4,Hybrid," $13,019 "
4,Hybrid," $13,368 "
4,Hybrid," $13,922 "
4,Hybrid," $14,199 "
4,Hybrid," $14,272 "
4,Hybrid," $14,400 "
4,Hybrid," $14,563 "
4,Hybrid," $14,681 "
4,Hybrid," $14,879 "
4,Hybrid," $15,082 "
4,Hybrid," $15,082 "
4,Hybrid," $15,355 "
4,Hybrid," $15,480 "
4,Hybrid," $18,098 "
4,Hybrid," $18,424 "
4,Hybrid," $18,562 "
4,Hybrid," $19,761 "
4,Hybrid," $19,839 "
4,Hybrid," $20,000 "
4,Hybrid," $20,923 "
4,Hybrid," $23,203 "
4,Hybrid," $23,248 "
4,Hybrid," $23,248 "
4,Hybrid," $23,563 "
4,Hybrid," $23,966 "
4,Hybrid," $24,363 "
4,Hybrid," $24,475 "
4,Hybrid," $25,523 "
4,Hybrid," $27,109 "
4,Hybrid," $28,309 "
4,Hybrid," $29,867 "
4,Hybrid," $30,369 "
4,Hybrid," $30,424 "
4,Hybrid," $31,104 "
4,Hybrid," $31,742 "
4,Hybrid," $32,440 "
4,Hybrid," $32,484 "
4,Hybrid," $32,484 "
4,Hybrid," $32,748 "
4,Hybrid," $34,804 "
4,Hybrid," $35,104 "
4,Hybrid," $37,445 "
4,Hybrid," $38,217 "
4,Hybrid," $38,285 "
4,Hybrid," $38,981 "
4,Hybrid," $40,000 "
4,Hybrid," $40,566 "
4,Hybrid," $40,605 "
4,Hybrid," $40,605 "
4,Hybrid," $40,684 "
4,Hybrid," $40,842 "
4,Hybrid," $41,765 "
4,Hybrid," $42,925 "
4,Hybrid," $44,086 "
4,Hybrid," $44,086 "
4,Hybrid," $45,942 "
4,Hybrid," $46,406 "
4,Hybrid," $47,065 "
4,Hybrid," $47,586 "
4,Hybrid," $48,726 "
4,Hybrid," $48,726 "
4,Hybrid," $48,726 "
4,Hybrid," $50,000 "
4,Hybrid," $50,314 "
4,Hybrid," $50,372 "
4,Hybrid," $51,046 "
4,Hybrid," $51,975 "
4,Hybrid," $52,201 "
4,Hybrid," $52,207 "
4,Hybrid," $52,207 "
4,Hybrid," $52,207 "
4,Hybrid," $52,207 "
4,Hybrid," $53,367 "
4,Hybrid," $53,624 "
4,Hybrid," $53,633 "
4,Hybrid," $54,457 "
4,Hybrid," $54,719 "
4,Hybrid," $55,346 "
4,Hybrid," $55,687 "
4,Hybrid," $56,000 "
4,Hybrid," $56,604 "
4,Hybrid," $56,621 "
4,Hybrid," $57,179 "
4,Hybrid," $58,007 "
4,Hybrid," $58,007 "
4,Hybrid," $58,007 "
4,Hybrid," $58,007 "
4,Hybrid," $58,120 "
4,Hybrid," $62,068 "
4,Hybrid," $62,767 "
4,Hybrid," $63,808 "
4,Hybrid," $63,808 "
4,Hybrid," $64,968 "
4,Hybrid," $65,000 "
4,Hybrid," $65,000 "
4,Hybrid," $65,496 "
4,Hybrid," $73,000 "
4,Hybrid," $80,000 "
4,Hybrid," $80,000 "
4,Hybrid," $80,000 "
4,Hybrid," $81,210 "
4,Hybrid," $82,027 "
4,Hybrid," $87,000 "
4,Hybrid," $87,011 "
4,Hybrid," $88,000 "
4,Hybrid," $88,945 "
4,Hybrid," $92,812 "
4,Hybrid," $92,812 "
4,Hybrid," $100,000 "
4,Hybrid," $100,000 "
4,Hybrid," $115,000 "
4,Hybrid," $118,967 "
4,Hybrid," $125,000 "
4,Hybrid," $128,476 "
4,Hybrid," $139,881 "
4,Hybrid," $140,000 "
4,Hybrid," $158,631 "
4,Hybrid," $160,000 "
4,Hybrid," $165,000 "
4,Hybrid," $9,531,653 "
,Hybrid Average," $94,767 "
4,In-person, $10 
4,In-person, $51 
4,In-person, $100 
4,In-person, $135 
4,In-person, $282 
4,In-person, $351 
4,In-person, $351 
4,In-person, $383 
4,In-person, $558 
4,In-person, $600 
4,In-person, $999 
4,In-person," $1,078 "
4,In-person," $1,156 "
4,In-person," $1,200 "
4,In-person," $1,291 "
4,In-person," $1,473 "
4,In-person," $1,674 "
4,In-person," $1,674 "
4,In-person," $2,107 "
4,In-person," $2,184 "
4,In-person," $2,206 "
4,In-person," $2,301 "
4,In-person," $2,325 "
4,In-person," $2,528 "
4,In-person," $2,798 "
4,In-person," $2,945 "
4,In-person," $3,487 "
4,In-person," $3,487 "
4,In-person," $3,495 "
4,In-person," $4,068 "
4,In-person," $4,464 "
4,In-person," $4,578 "
4,In-person," $4,650 "
4,In-person," $4,650 "
4,In-person," $4,650 "
4,In-person," $4,882 "
4,In-person," $5,148 "
4,In-person," $5,231 "
4,In-person," $5,231 "
4,In-person," $5,231 "
4,In-person," $5,478 "
4,In-person," $5,580 "
4,In-person," $5,580 "
4,In-person," $5,638 "
4,In-person," $5,719 "
4,In-person," $5,801 "
4,In-person," $5,812 "
4,In-person," $5,812 "
4,In-person," $5,924 "
4,In-person," $6,000 "
4,In-person," $6,277 "
4,In-person," $6,381 "
4,In-person," $6,382 "
4,In-person," $7,536 "
4,In-person," $7,642 "
4,In-person," $7,672 "
4,In-person," $8,137 "
4,In-person," $8,137 "
4,In-person," $8,628 "
4,In-person," $8,726 "
4,In-person," $8,779 "
4,In-person," $9,299 "
4,In-person," $9,675 "
4,In-person," $9,764 "
4,In-person," $10,462 "
4,In-person," $12,000 "
4,In-person," $12,786 "
4,In-person," $13,169 "
4,In-person," $13,929 "
4,In-person," $13,929 "
4,In-person," $13,949 "
4,In-person," $14,387 "
4,In-person," $14,725 "
4,In-person," $14,934 "
4,In-person," $15,792 "
4,In-person," $16,000 "
4,In-person," $16,242 "
4,In-person," $16,274 "
4,In-person," $16,374 "
4,In-person," $16,855 "
4,In-person," $19,413 "
4,In-person," $19,761 "
4,In-person," $20,187 "
4,In-person," $22,043 "
4,In-person," $22,319 "
4,In-person," $22,319 "
4,In-person," $22,354 "
4,In-person," $23,203 "
4,In-person," $23,203 "
4,In-person," $23,248 "
4,In-person," $23,720 "
4,In-person," $25,523 "
4,In-person," $25,523 "
4,In-person," $27,836 "
4,In-person," $27,949 "
4,In-person," $28,424 "
4,In-person," $28,590 "
4,In-person," $29,004 "
4,In-person," $30,000 "
4,In-person," $31,812 "
4,In-person," $32,238 "
4,In-person," $32,484 "
4,In-person," $33,000 "
4,In-person," $35,000 "
4,In-person," $36,672 "
4,In-person," $36,746 "
4,In-person," $36,758 "
4,In-person," $37,440 "
4,In-person," $37,821 "
4,In-person," $38,120 "
4,In-person," $39,445 "
4,In-person," $40,842 "
4,In-person," $41,765 "
4,In-person," $41,765 "
4,In-person," $42,165 "
4,In-person," $43,000 "
4,In-person," $44,096 "
4,In-person," $45,246 "
4,In-person," $46,656 "
4,In-person," $49,000 "
4,In-person," $50,000 "
4,In-person," $51,734 "
4,In-person," $53,947 "
4,In-person," $62,261 "
4,In-person," $64,000 "
4,In-person," $69,502 "
4,In-person," $70,000 "
4,In-person," $70,000 "
4,In-person," $73,901 "
4,In-person," $82,000 "
4,In-person," $86,000 "
4,In-person," $92,000 "
4,In-person," $92,000 "
4,In-person," $100,000 "
4,In-person," $107,000 "
4,In-person," $115,717 "
4,In-person," $125,000 "
4,In-person," $160,000 "
4,In-person," $185,000 "
4,In-person," $208,826 "
4,In-person," $230,000 "
4,In-person," $237,389 "
4,In-person," $500,000 "
,In-person Average," $32,665 "
4,Remote, $32 
4,Remote, $47 
4,Remote, $104 
4,Remote, $232 
4,Remote, $281 
4,Remote, $360 
4,Remote, $383 
4,Remote, $387 
4,Remote, $479 
4,Remote, $575 
4,Remote, $575 
4,Remote, $631 
4,Remote, $647 
4,Remote, $878 
4,Remote, $900 
4,Remote, $959 
4,Remote," $1,061 "
4,Remote," $1,092 "
4,Remote," $1,246 "
4,Remote," $1,291 "
4,Remote," $1,400 "
4,Remote," $1,558 "
4,Remote," $1,584 "
4,Remote," $1,744 "
4,Remote," $1,917 "
4,Remote," $2,092 "
4,Remote," $2,182 "
4,Remote," $2,221 "
4,Remote," $2,251 "
4,Remote," $2,320 "
4,Remote," $2,397 "
4,Remote," $2,400 "
4,Remote," $2,402 "
4,Remote," $2,455 "
4,Remote," $2,488 "
4,Remote," $2,906 "
4,Remote," $3,160 "
4,Remote," $3,208 "
4,Remote," $3,248 "
4,Remote," $3,451 "
4,Remote," $3,483 "
4,Remote," $3,487 "
4,Remote," $3,595 "
4,Remote," $3,641 "
4,Remote," $3,817 "
4,Remote," $4,000 "
4,Remote," $4,177 "
4,Remote," $4,644 "
4,Remote," $4,650 "
4,Remote," $5,231 "
4,Remote," $5,370 "
4,Remote," $5,461 "
4,Remote," $5,801 "
4,Remote," $6,192 "
4,Remote," $6,335 "
4,Remote," $6,393 "
4,Remote," $6,500 "
4,Remote," $6,545 "
4,Remote," $6,974 "
4,Remote," $7,190 "
4,Remote," $7,656 "
4,Remote," $7,909 "
4,Remote," $8,137 "
4,Remote," $8,137 "
4,Remote," $8,843 "
4,Remote," $8,915 "
4,Remote," $9,299 "
4,Remote," $9,299 "
4,Remote," $9,586 "
4,Remote," $9,600 "
4,Remote," $10,922 "
4,Remote," $11,624 "
4,Remote," $11,978 "
4,Remote," $12,000 "
4,Remote," $12,000 "
4,Remote," $12,367 "
4,Remote," $12,533 "
4,Remote," $12,925 "
4,Remote," $12,994 "
4,Remote," $14,000 "
4,Remote," $16,125 "
4,Remote," $16,383 "
4,Remote," $17,000 "
4,Remote," $19,722 "
4,Remote," $20,024 "
4,Remote," $20,132 "
4,Remote," $20,132 "
4,Remote," $20,473 "
4,Remote," $20,500 "
4,Remote," $21,570 "
4,Remote," $22,000 "
4,Remote," $22,800 "
4,Remote," $23,000 "
4,Remote," $23,203 "
4,Remote," $24,000 "
4,Remote," $26,000 "
4,Remote," $27,683 "
4,Remote," $29,126 "
4,Remote," $29,919 "
4,Remote," $30,600 "
4,Remote," $32,400 "
4,Remote," $32,748 "
4,Remote," $34,872 "
4,Remote," $35,947 "
4,Remote," $37,872 "
4,Remote," $39,400 "
4,Remote," $43,689 "
4,Remote," $43,775 "
4,Remote," $46,116 "
4,Remote," $48,651 "
4,Remote," $50,000 "
4,Remote," $50,496 "
4,Remote," $57,224 "
4,Remote," $59,826 "
4,Remote," $60,000 "
4,Remote," $61,720 "
4,Remote," $69,744 "
4,Remote," $70,000 "
4,Remote," $75,410 "
4,Remote," $80,050 "
4,Remote," $80,254 "
4,Remote," $88,000 "
4,Remote," $98,494 "
4,Remote," $98,612 "
4,Remote," $100,000 "
4,Remote," $112,307 "
4,Remote," $114,227 "
4,Remote," $120,000 "
4,Remote," $130,000 "
4,Remote," $140,000 "
4,Remote," $145,000 "
4,Remote," $155,000 "
4,Remote," $160,000 "
4,Remote," $190,000 "
4,Remote," $208,826 "
4,Remote," $510,465 "
,Remote Average," $31,656 "
4 Average,," $55,786 "
5,Hybrid, $3 
5,Hybrid, $4 
5,Hybrid, $6 
5,Hybrid, $12 
5,Hybrid, $19 
5,Hybrid, $386 
5,Hybrid, $500 
5,Hybrid, $826 
5,Hybrid," $1,162 "
5,Hybrid," $1,198 "
5,Hybrid," $1,199 "
5,Hybrid," $1,317 "
5,Hybrid," $1,590 "
5,Hybrid," $1,697 "
